Timestamp,What year are you?,Are you planning to vote in the UC Election?,"If yes, who are you planning to vote for?"
11/13/2016 22:12:20,Freshman,Yes,"Grant S. Solomon ’18, with running mate Alexander T. Moore ’18"
11/13/2016 22:13:51,Freshman,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/13/2016 22:14:33,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/13/2016 22:17:36,Freshman,Yes,"Scott Ely ’18, with running mate Evan M. Bonsall ’19"
11/13/2016 22:19:45,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/13/2016 22:23:49,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/13/2016 22:25:06,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/13/2016 22:25:28,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/13/2016 22:25:57,Freshman,Yes,"Scott Ely ’18, with running mate Evan M. Bonsall ’19"
11/13/2016 22:32:03,Freshman,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/13/2016 22:32:21,Freshman,Yes,"Scott Ely ’18, with running mate Evan M. Bonsall ’19"
11/13/2016 23:31:33,Freshman,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/13/2016 23:34:31,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/14/2016 0:32:34,Freshman,Yes,"Scott Ely ’18, with running mate Evan M. Bonsall ’19"
11/14/2016 0:59:31,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/14/2016 1:12:45,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/14/2016 2:57:20,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/14/2016 7:03:11,Freshman,Yes,"Scott Ely ’18, with running mate Evan M. Bonsall ’19"
11/14/2016 8:41:29,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/14/2016 10:45:47,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/14/2016 13:36:46,Freshman,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/14/2016 14:19:07,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/14/2016 15:03:57,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/14/2016 23:02:18,Freshman,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/14/2016 23:03:58,Freshman,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/14/2016 23:05:02,Freshman,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/14/2016 23:06:08,Freshman,Yes,"Scott Ely ’18, with running mate Evan M. Bonsall ’19"
11/14/2016 23:11:16,Freshman,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/14/2016 23:23:38,Freshman,Yes,"Scott Ely ’18, with running mate Evan M. Bonsall ’19"
11/14/2016 23:31:43,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/14/2016 23:31:08,Freshman,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/14/2016 23:31:20,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/14/2016 23:45:43,Freshman,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/14/2016 23:48:42,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/14/2016 23:49:00,Freshman,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/14/2016 23:51:54,Freshman,Yes,"Scott Ely ’18, with running mate Evan M. Bonsall ’19"
11/15/2016 0:04:49,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/15/2016 0:07:24,Freshman,Yes,"Grant S. Solomon ’18, with running mate Alexander T. Moore ’18"
11/15/2016 0:07:37,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/15/2016 0:12:01,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/15/2016 0:14:59,Freshman,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/15/2016 0:21:19,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/15/2016 0:52:16,Freshman,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/15/2016 0:54:20,Freshman,Yes,"Eduardo A. Gonzalez ’18, with running mate Alex Popovski ’19"
11/15/2016 1:43:05,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/15/2016 7:56:53,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/15/2016 8:26:18,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/15/2016 8:50:12,Freshman,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/13/2016 22:11:16,Freshman,No,
11/13/2016 22:13:17,Freshman,No,
11/13/2016 23:35:36,Freshman,No,
11/14/2016 0:59:19,Freshman,No,
11/14/2016 12:13:32,Freshman,No,
11/14/2016 16:27:44,Freshman,No,
11/14/2016 23:37:46,Freshman,No,
11/13/2016 22:11:08,Junior,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/13/2016 22:11:19,Junior,Yes,"Scott Ely ’18, with running mate Evan M. Bonsall ’19"
11/13/2016 22:11:39,Junior,Yes,"Scott Ely ’18, with running mate Evan M. Bonsall ’19"
11/13/2016 22:12:26,Junior,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
11/13/2016 22:12:31,Junior,Yes,"Yasmin Z. Sachee ’18, with running mate Cameron K. Khansarinia ’18"
